what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789174775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789176095
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349789176480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789177095
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789189100
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349789190391
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349789197621
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349789201651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789205851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789207831
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349789208271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789208881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789210916
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349789211492
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789215652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789216907
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349789217262
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789217877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349789246278
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349789247269
