what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773099140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773100750
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349773101245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773101905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773104176
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349773119777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349773133217
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349773136192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773136872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773164368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773178949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773180594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773210919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773211764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773212244
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773213019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773214819
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773215679
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349773219209
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349773223614
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1349773239509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349773243349
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1349773244689
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349773250044
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349773252179
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349773271664
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349773273269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773273869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773279420
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349773281246
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349773292471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349773373606
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349773397256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773398301
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773400111
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349773401056
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349773402131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773402751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773407222
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349773408148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773415218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773416323
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349773416718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773417343
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773419924
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349773420770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773465920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773915065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349773976985
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349774020050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349774030350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349774031655
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349774032040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349774032700
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349774035151
