what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349869791917
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349869791932
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349869831776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349869841636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349869915711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349869924151
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349869924656
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1349869985226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349869987536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349870002531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349870023456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349870025211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349870026951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349870142951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349870162086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349870176771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349871615192
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349871615972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349871628507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349871649352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349871650382
