what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349776345607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776351366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776352492
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349776352857
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776353458
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776355534
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349776356025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776360216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776361390
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349776361748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776362411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776364583
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349776365361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776371299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776372485
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349776372862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776373535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776376292
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349776376800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776396535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776448296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776463974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349776465271
