what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349859130727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349859133114
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349859137762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349859141709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349859145016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349859195826
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349859198837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859211738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859212767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859213969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859214250
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349859214250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859237126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859243632
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349859244677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349859278904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859281088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859281370
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349859281370
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349859304781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859307604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859312908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859321769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859322580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859323236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859391189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859405775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859407772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859416806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859419270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859430222
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859431672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1349859495289
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349859496990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349859514618
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349859531809
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349859531965
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349859532121
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349859532277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349859532433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349859534991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349859535257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859548938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859549063
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349859606377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349859610433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859619107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1349859619138
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859660556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859662553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859663770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859665049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859665346
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349859665377
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349859676989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859677800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859686661
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1349859745301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349859769060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859781150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859797719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349859844024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859855869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859897214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859908069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349859963424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349859981669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349860108025
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349860231600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349860285600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349860293605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349860305260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349860328955
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349860329815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349860337200
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349860340590
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1349860359015
