what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797231376
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349797231751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797232406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797234606
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797235933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797242485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797244482
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349797244950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797245605
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797253828
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797254406
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797256543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349797291908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349797299552
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797301908
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797409035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349797417490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349797418670
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797420430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797421450
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797422710
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349797423145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797423830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797425441
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797426737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797430332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797431587
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349797431982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797433662
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797435173
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797435774
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797437259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349797445404
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797446324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797970299
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349797975664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797988674
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797990014
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349797990474
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349797991049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349798001004
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349798002435
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349798011795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349798012830
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349798013205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349798013820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349798018580
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349798019286
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349798021806
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349798027036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349798027926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349798029151
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349798029576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349798030161
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349798032361
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349798032937
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349798039777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349798278557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349798279712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349798294542
