what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811194756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349811249586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349811251451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349811252861
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349811253236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349811253631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349811253796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349811265356
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349811268511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811271696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811274156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811304196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811306936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1349811346071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349811349086
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349811384126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811390526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811392441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811393986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811394202
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349811394212
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811398868
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1349811426638
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811428898
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811429008
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811444088
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811445283
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811445283
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811447633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811448838
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811450098
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811451133
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811458298
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811462399
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811463414
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349811474154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349811477599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811478459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811479714
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811481664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811483604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811485244
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811487226
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811488571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1349811504796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811506676
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811507896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811508906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811509181
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349811509191
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349811511572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811515502
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349811599562
