what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791134886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791136316
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349791139052
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349791143822
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349791151977
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349791152742
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349791154102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791154772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791169888
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349791170674
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349791181814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791182419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791250664
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349791251200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791255930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791257775
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349791258180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791258800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791285636
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349791286608
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349791334083
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349791367029
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791368239
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791370084
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1349791370594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349791371219
